Size (bp),ptc_1,ptc_2,ptc_3,ntc_1,ntc_2,ntc_3
125.75,8.27,2.69,18.18,5.37,8.42,10.13
126.07,7.93,3.43,16.32,4.89,9.14,9.3
126.38,7.96,3.82,13.82,4.46,8.67,8.38
126.7,8.31,3.57,12.44,4.04,7.25,8.25
127.02,8.14,3.07,12.95,1.85,5.78,8.97
127.34,7.45,2.76,13.69,1.51,4.58,9.75
127.65,7.07,2.48,13.18,2.8,4.01,9.77
127.97,7.46,2.07,12.17,4.89,4.83,8.82
128.29,8.74,1.65,12.37,6.33,6.41,7.66
128.61,10.83,1.76,13.96,6.48,7.17,7.56
128.92,12.45,2.76,15.25,5.39,7.55,7.58
129.24,11.78,3.78,14.78,3.57,7.75,6.96
129.56,8.95,3.7,13.37,2.18,6.55,5.74
129.87,6.27,4.25,13.01,1.84,4.56,4.02
130.19,5.61,6,13.77,2.24,4.25,3
130.51,5.23,8.78,13.98,3.15,6.81,4.38
130.83,4.59,11.74,13.29,4.05,9.75,7.31
131.14,5.21,13.55,13.07,4.14,9.64,8.74
131.46,7.07,13.44,15.05,3.73,6.88,7.7
131.78,8.61,11.82,15.17,3.62,5,6.73
132.1,9.17,9.79,14.87,3.4,5.92,7.67
132.41,9.86,8.26,15.5,2.68,8.14,9.14
132.73,12.03,7.76,17.28,2.37,9.5,9.17
133.05,15.35,8.35,19.36,3.07,9.33,7.95
133.37,18.21,8.75,21.26,4.1,8.08,7.06
133.68,19.63,3.55,22.54,4.68,7.07,7.12
134,20,1.05,22.06,4.72,7.72,7.2
134.32,19.94,0.66,19.75,4.72,9.74,6.44
134.63,19.11,1.41,17.71,6.09,11.33,5.2
134.95,17.09,2.38,17.76,6.06,10.13,4.76
135.27,14.65,3.24,19.06,5.04,8.07,6.2
135.59,12.97,3.64,20,4.51,6.43,8.9
135.9,12.19,3.27,20.13,4.96,5.79,10.7
136.22,11.66,2.51,19.66,4.82,5.49,9.14
136.54,11.36,2.48,18.74,3.05,4.76,7.65
136.86,11.68,3.66,17.69,0.69,3.65,7.68
137.17,12.18,5.02,16.88,-0.73,3.12,9.14
137.49,11.9,4.99,16.52,-0.48,4.05,10.51
137.81,10.81,1.06,16.41,1.3,5.88,10.93
138.12,9.7,0.62,15.9,3.62,7.18,10.39
138.44,9.04,2.26,11.33,5.14,7.76,8.87
138.76,7.32,5.06,9.13,5.09,8.63,7.09
139.08,5.82,8.59,8.95,4.01,9.99,6.34
139.39,6.16,12.69,9.84,3.33,10.62,6.85
139.71,7.84,16.47,10.15,3.82,9.93,7.51
140.03,9.01,18.93,9.66,4.47,8.91,7.31
140.35,9.09,19.47,9.17,4.17,7.91,6.37
140.66,9.1,17.88,9.59,3.37,6.09,5.29
140.98,9.79,14.24,11.23,2.75,3.76,4.35
141.3,10.74,9.32,13.13,2.11,2.4,3.79
141.62,11.56,4.87,14.69,1.65,2.15,3.71
141.93,12.65,2.26,17.23,1.84,1.9,3.84
142.25,14.51,2.87,21.35,2.77,1.96,4.27
142.57,16.96,3.26,25,3.11,2.32,5.49
142.88,19.13,2.47,26.19,3.17,2.68,7.07
143.2,20.3,0.23,24.67,3.11,3.29,7.84
143.52,20.17,-1.86,21.35,3.56,4.49,6.95
143.84,18.06,-2.27,18.03,4.61,6.2,6.06
144.15,13.84,-1.64,16.22,5.37,7.79,6.27
144.47,9.63,-1.09,15.73,4.96,8.4,7.74
144.79,8.01,-0.53,15.48,4.04,7.89,9.07
145.11,8.71,0.22,14.79,4.52,7.2,9.23
145.42,9.44,0.72,13.89,6.69,7.4,8.6
145.74,9.37,0.57,13.51,8.47,8.79,7.98
146.06,9.34,-1.24,13.29,8.36,10.61,7.88
146.37,9.1,-2.18,12.36,6.91,11.29,8.26
146.69,8.47,-3.13,10.75,5.41,10.14,8.19
147.01,7.72,-4.13,8.79,4.78,8.54,7.29
147.33,7.25,-4.68,7.57,5.2,8.26,6.43
147.64,7.64,-4.86,7.75,6.14,8.92,6.02
147.96,8.23,-5.36,8.28,6.77,7.23,5.46
148.28,8.01,-5.83,8.04,6.4,5.67,4.99
148.6,7.46,-5.42,7.41,5.08,5.28,5.52
148.91,7.06,-4.2,7,3.93,5.7,7.02
149.23,6.42,-2.56,6.81,3.55,6.39,8.79
149.55,5.93,-0.68,6.77,3.24,7.22,9.97
149.87,6.2,0.75,6.93,2.08,7.58,9.83
150.18,6.54,0.38,6.99,2.7,7.06,8.46
150.5,6.55,0.24,6.62,3.79,6.19,5.93
150.82,6.89,0.54,6.53,4.4,5.59,5.69
151.13,7.45,0.26,7.55,4.38,5.81,5.14
151.45,7.5,-0.44,8.83,4.33,7.17,3.8
151.77,7.42,-0.32,9.08,4.5,8.91,2.19
152.09,7.48,0.61,8.82,4.31,9.47,1.14
152.4,6.78,0.95,9.24,3.58,8.33,1.61
152.72,5.52,0.22,9.81,3.23,6.69,3.8
153.04,4.83,-0.94,8.56,3.79,6.25,5.99
153.36,4.84,-1.89,7.04,4.71,7.56,6.5
153.67,5.63,-2.17,5.92,5.68,9.5,6.27
153.99,7.51,-1.59,5.69,6.59,10.36,7.11
154.31,9.33,-1.86,6.26,7.05,7.49,8.86
154.62,9.58,-3.76,7.18,7.15,5.41,9.88
154.94,9.46,-4.46,8.27,6.97,3.64,9.34
155.26,9.67,-2.88,8.97,6.31,2.82,7.94
155.58,9.69,-0.76,8.35,5.7,3.66,6.66
155.89,8.89,0.24,6.88,5.5,5.5,5.88
156.21,7.16,0.49,6.13,4.48,6.94,5.63
156.53,5.19,0.64,6.58,2.5,7.86,5.83
156.85,3.42,0.36,7.25,2.04,8.63,6
157.16,1.74,-0.6,7.18,4.24,8.69,5.84
157.48,0.57,-1.55,6.35,7.27,7.77,6.09
157.8,0.66,-1.3,5.58,6.49,6.43,8.59
158.12,1.95,0.23,5.78,5.67,5.05,8.25
158.43,3.56,0.95,6.84,5.78,4.01,6.73
158.75,4.76,0.44,7.93,7.01,3.93,5.61
159.07,5.37,0.68,8.62,8.12,4.8,5.47
159.38,5.44,0.85,8.65,7.67,5.99,5.67
159.7,5.19,0.36,7.6,6.01,7.12,5.44
160.02,4.78,-0.42,5.14,4.62,7.76,4.51
160.34,4.31,-1.05,5.39,3.8,7.37,3.34
160.65,3.87,-1.32,6.27,2.71,5.99,2.97
160.97,3.31,-0.97,7.71,1.47,6.38,4
161.29,2.62,0.06,9.25,1.2,6.68,5.53
161.61,2.58,1.34,9.79,1.89,6.6,6.2
161.92,3.71,2.45,9.93,2.78,6.77,5.95
162.24,5.14,3.56,11.4,3.9,7.38,5.73
162.56,6.35,4.28,13.28,5.03,7.71,5.96
162.87,6.99,2.89,13.4,5.07,7.45,6.23
163.19,7.99,1.69,12.32,3.98,7.32,6.57
163.51,8.88,1.88,11.82,3.01,7.88,7.56
163.83,9.08,3.07,11.84,3,8.79,8.57
164.14,8.61,3.44,11.53,3.74,9.34,8.48
164.46,7.99,2.04,10.76,4.5,8.9,7.76
164.78,7.45,0.46,10.02,4.75,7.51,7.42
165.1,6.8,0.79,9.97,4.78,6.06,6.14
165.41,6.66,2.95,10.81,5.45,5.23,5.43
165.73,7.87,5.56,11.68,5.99,4.96,5.24
166.05,9.53,7.81,11.49,6.2,5.26,5.02
166.37,10.17,9.36,10.38,6.38,6.34,4.57
166.68,10.41,8.62,9.53,6.27,7.71,4.12
167,11.18,6.97,11.72,5.49,8.23,3.63
167.32,11.63,5.72,13.91,4.89,6.31,3.38
167.63,11.2,4.83,14.61,5.39,5.79,4.21
167.95,10.62,3.72,13.65,6.12,6.09,5.82
168.27,10.2,2.41,13.24,5.86,6.7,6.63
168.59,9.74,1.16,14.8,5.14,7.01,6.29
168.9,9.8,0.43,16.87,5.17,7.06,5.88
169.22,11.08,0.8,17.23,5.82,7.67,6.27
169.54,13.13,1.79,15.96,6.27,9.03,7.77
169.86,14.48,2.21,14.91,6.33,9.97,9.63
170.17,14.09,1.7,14.66,6.36,9.75,10.02
170.49,12.6,0.52,14.39,6.7,8.92,8.63
170.81,11.72,-0.9,13.65,7.19,7.89,7.46
171.12,11.47,-0.18,12.61,6.9,7.05,7.47
171.44,10.7,1.08,11.77,5.5,7.19,7.51
171.76,10.42,2.23,11.17,4.37,7.97,7.08
172.08,10.9,2.69,9.93,4.79,8.48,6.85
172.39,11.02,2.2,7.96,5.6,8.76,6.63
172.71,9.71,1.06,7.17,4.77,8.48,6.32
173.03,7.5,-0.23,8.78,5.14,7.19,6.07
173.35,5.87,-1.45,10.99,5.58,6.28,6.46
173.66,5.35,-2.51,11.57,5.34,9.5,7.69
173.98,5.45,-3.01,10.64,5.06,10.55,8.91
174.3,5.49,-2.85,9.66,4.93,9.89,8.97
174.62,5.36,-2.66,9.47,4.37,8.58,7.6
174.93,5.7,-1.55,8.31,3.37,7.44,5.83
175.25,6.62,-0.47,7.14,2.77,6.61,5.08
175.57,6.92,-0.58,7.81,3.11,6.25,5.49
175.88,5.95,-1.85,10.05,4,6.03,6.13
176.2,5.15,-3.28,11.49,4.67,5.36,6.35
176.52,5.97,-4.28,10.75,4.25,4.74,6.07
176.84,7.17,-4.33,9.02,2.58,4.89,5.77
177.15,6.58,-3.37,8.33,1.33,5.49,6
177.47,4.68,-2.44,9.06,1.95,6.14,6.42
177.79,3.77,-2.31,9.86,3.42,7.08,6.58
178.11,4.62,-2.68,9.7,4.15,8.14,6.8
178.42,6.03,-3.03,8.72,4.16,8.8,7.1
178.74,6.66,-3.03,7.31,4.13,9.05,6.64
179.06,4.57,-2.32,6.03,4.07,9.25,5.09
179.37,3.96,-2.35,5.53,3.6,9.36,3.78
179.69,5.21,-2.3,5.68,3,9.3,7.02
180.01,7.96,-1.9,5.99,3.33,10.32,9.59
180.33,10.88,-1.44,6.28,6.54,10.66,11.17
180.64,12.4,-1.1,6.42,7.37,10.41,11.87
180.96,11.56,-0.71,6.43,7.63,10.18,12.03
181.28,9.15,-0.7,7.05,7.73,9.76,11.83
181.6,7.13,-1.39,6.71,7.83,8.74,11.12
181.91,6.11,-1.77,5.91,8.19,7.58,9.25
182.23,5.33,-1.3,5.97,8.47,6.37,6.39
182.55,4.98,-1.14,6.84,7.98,4.9,4.65
182.87,5.86,-1.9,6.78,6.98,4.41,5.34
183.18,7.1,-2.29,5.46,6.42,6.16,6.81
183.5,7.51,-1.78,4.89,6.45,8.8,7.23
183.82,7.69,-1.68,6.09,6.49,9.54,6.78
184.13,8.39,-2.02,7.37,6.37,7.3,6.26
184.45,8.59,-2.1,7.02,6.29,3.96,6.08
184.77,7.61,-1.58,5.75,6.32,2.45,6.51
185.09,6.63,-1.46,5.33,6.46,3.66,7.72
185.4,6.62,-2.19,6.1,6.81,5.84,8.81
185.72,6.68,-2.61,7.09,7.33,6.96,8.39
186.04,5.95,-2.02,7.58,7.69,6.73,6.75
186.36,4.92,-1.05,7.36,7.57,5.99,5.65
186.67,4.12,-0.42,6.26,6.85,6.59,5.73
186.99,3.93,-0.26,5.05,5.71,7.43,6.51
187.31,8.05,-0.65,5.05,4.77,8.38,7.18
187.62,10.25,-1.64,6.34,4.68,9.45,8.96
187.94,9.84,-2.54,7.79,5.3,9.92,11.04
188.26,7.2,-2.03,9.68,4.92,9.01,11.7
188.58,4.95,-0.29,10.63,4.81,7.23,10.9
188.89,5.32,0.96,10.59,4.9,6.14,9.82
189.21,7.77,0.95,8.95,4.45,6.53,8.67
189.53,9.88,0.56,6.85,3.79,7.42,7.18
189.85,10.12,0.7,6.2,4.09,7.68,5.92
190.16,9.04,1.28,7.31,5.21,7.71,5.42
190.48,7.92,1.81,8.52,5.88,8.4,5.29
190.8,7.24,2.14,8.44,5.77,9.53,4.96
191.12,6.97,2.33,7.56,5.32,9.79,4.87
191.43,7.17,1.06,7.36,4.52,8.47,5.93
191.75,7.55,0.02,7.9,3.69,6.62,7.6
192.07,7.45,-0.03,8.13,3.4,5.78,8.21
192.38,7.07,0.52,8.25,3.54,6.11,7.57
192.7,7.3,0.88,8.97,4.09,7.03,7.07
193.02,8.11,1.74,9.62,5.21,8.72,7.32
193.34,8.6,3.85,9.97,6.09,8.75,7.46
193.65,8.55,6.01,11.02,5.93,8.61,6.93
193.97,8.61,6.2,12.39,5.33,8.62,6.48
194.29,9.23,3.98,12.88,5.06,8.61,6.57
194.61,10.09,1,13.12,4.99,8.45,6.58
194.92,10.33,-0.71,13.74,4.91,8.44,6.83
195.24,8.92,-0.92,13.45,5.37,8.47,6.99
195.56,8.83,-2.45,10.71,7.67,7.86,7.49
195.87,9.78,-3.14,11.22,6.98,6.7,8.99
196.19,11.46,-2.3,12.34,4.94,6.36,10.51
196.51,13.08,-0.51,13.24,3.4,7.52,10.83
196.83,14.16,0.47,14.51,3.54,8.8,10.08
197.14,14.66,-0.46,16.35,4.75,8.78,8.85
197.46,14.53,-1.96,17.41,5.69,8.24,7.99
197.78,14,-2.09,16.43,6,8.39,8.15
198.1,13.71,-1.35,14.02,6.26,8.74,8.71
198.41,13.57,-1.09,11.77,6.68,8.27,8.97
198.73,12.11,-1.3,10.61,6.96,7.11,9.02
199.05,8.94,-1.63,10.28,6.9,5.91,8.5
199.37,6.56,-1.82,9.9,6.52,5.47,6.93
199.68,7.17,-1.99,9.21,6.11,6.17,5
200,9.12,-2.58,8.83,6.21,5.92,4.22
201,9.71,-3.05,8.92,7.1,4.83,5.55
201.36,8.99,-2.7,8.68,8.17,4.74,8.49
201.72,8.23,-2.08,7.85,8.5,6.44,11
202.08,7.4,-2.72,7.16,8,8.33,11.33
202.44,6.14,-4.29,7.07,6.84,8.39,9.63
202.8,5.32,-4.45,7.4,4.93,6.93,6.47
203.16,6.02,-2.76,7.88,3.34,5.94,7.42
203.52,7.78,-1.28,8.26,3.69,6.19,9.39
203.88,9.02,-0.84,8.1,5.46,6.43,10.24
204.24,8.72,-0.7,8.22,6.35,5.54,8.67
204.6,6.66,-1.12,8.2,6.36,4.46,5.7
204.96,6.87,-4.68,7.45,7.03,5.11,3.64
205.32,7.16,-5.07,6.48,7.7,7.43,3.97
205.68,6.64,-4.11,6.18,7.65,9.15,5.87
206.04,5.81,-3.27,6.7,6.57,9.27,7.36
206.4,5.7,-3.24,7.59,5.27,9.12,7.86
206.76,6.37,-3.3,7.96,4.76,9.1,8.11
207.12,7.07,-2.55,7.15,4.41,5.85,8.26
207.48,7.14,-1.17,5.74,3.47,4.63,8.03
207.84,6.52,0.07,5.2,2.77,4.85,7.69
208.2,5.76,0.86,5.98,3.27,5.02,7.89
208.56,5.5,1.19,6.83,4.51,4.1,8.42
208.92,5.48,0.74,7.11,5.29,3.16,8.08
209.28,4.98,-0.63,8,5.06,3.52,6.54
209.64,4.16,-2.52,10.01,4.24,4.57,5.03
210,4.13,-2.08,11.88,3.41,5.29,4.33
210.36,5.05,-1.61,12.61,2.79,5.93,3.97
210.72,5.84,-1.46,11.95,2.66,6.87,3.9
211.08,5.84,-1.69,10.12,3.33,7.57,6.79
211.44,5.16,-2.22,8.41,4.38,7.24,7.54
211.8,4.36,-2.52,8.9,4.84,6.13,6.86
212.16,4.52,-2.14,9.93,4.25,5.65,6.28
212.52,5.89,-1.22,10.07,2.4,6.42,6.79
212.88,6.87,-0.23,9.1,2.54,7.34,7.64
213.24,6.26,0.33,7.89,3.13,7.25,7.4
213.6,4.96,0.3,6.99,3.8,6.07,5.87
213.96,5.24,-0.03,6.43,4.57,4.57,4.65
214.32,6.73,-0.31,6.55,4.86,5.21,5.2
214.68,7.15,-0.51,7.81,3.72,6.64,6.9
215.04,6.09,-0.74,9.98,2.06,6.61,8.15
215.4,5.13,-0.6,11.6,2,5.84,7.98
215.76,5.44,0.1,11.13,3.43,6.15,6.32
216.12,6.88,0.95,9.23,4.59,7.42,4.03
216.48,8.84,1.31,8.03,4.6,8.12,2.59
216.84,10.28,1.34,7.85,4.01,7.79,3.06
217.2,10.04,1.76,7.53,3.94,6.98,4.88
217.56,8.05,2.55,7.16,4.43,5.98,6.63
217.92,5.4,2.94,7.51,4.25,5.01,7.91
218.28,3.52,2.75,8.05,3.77,4.65,9.07
218.64,3.3,2.35,7.8,5,5.25,9.43
219,4.5,0.07,6.77,8.22,6.37,8.18
219.36,6.29,-0.82,5.71,10.65,7.31,5.38
219.72,7.6,0.08,6.63,9.71,7.84,5.82
220.08,7.38,1.76,7.55,6.49,8.26,6.9
220.44,5.83,2.21,7.98,4.44,8.53,8.15
220.8,4.41,1.31,8.76,4.88,8.09,9.16
221.16,4.22,0.29,9.68,6.14,7.12,9.33
221.52,5.37,-0.18,9.56,5.17,6.59,8.37
221.88,6.98,-0.43,8.36,4.05,7.11,6.65
222.24,7.49,-1.05,6.98,3.47,7.34,5.21
222.6,6.46,-1.77,5.96,3.12,7.06,4.94
222.96,5.53,-1.69,5.16,2.21,6.33,5.47
223.32,6.78,-1.19,4.4,1.18,6.17,5.47
223.68,7.65,-0.87,3.85,1.29,6.77,4.13
224.04,6.97,-0.11,3.66,2.22,6.77,2.16
224.4,5.13,0.5,4.22,2.66,5.64,1.35
224.76,4,0.93,6.03,2.67,4.64,2.38
225.12,4.68,1.18,8.2,2.91,5.05,3.9
225.48,6.23,0.57,9.13,2.84,6.47,4.47
225.84,7.45,-0.59,9.16,2,7.27,4.04
226.2,8.08,-1.08,9.97,1.23,6.58,3.22
226.56,7.89,-0.88,11.76,1.64,5.02,2.94
226.92,6.53,-1.33,12.94,2.9,3.74,3.66
227.28,4.79,-3.16,12.61,3.63,3.77,4.72
227.64,4.12,-4.83,11.61,3.21,5.13,6.24
228,4.52,-4.41,9.69,2.35,6.6,7.21
228.36,5.01,-1.75,9.19,2.08,7.25,7.74
228.72,5.41,-2.72,9.58,3,7.25,7.24
229.08,5.91,-3.87,10.23,4.75,7.27,6.38
229.44,6.29,-4.06,10.24,5.87,7.71,5.94
229.8,6.64,-3.64,9.44,3.04,8.13,5.67
230.16,6.79,-2.7,8.45,1.48,8.02,5.63
230.52,6.63,-1.09,8.01,1.62,6.71,6.33
230.88,7.33,0.07,8.18,2.85,4.26,7.3
231.24,9.42,-0.32,8.32,4.27,2.27,7.72
231.6,11,-1.32,7.87,5.52,2.38,7.74
231.96,10.59,-1.27,7.21,5.88,4.13,7.3
232.32,8.13,-0.04,6.93,5.01,5.73,5.75
232.68,8.11,1.06,6.63,4.17,6.4,3.61
233.04,8.38,-0.27,5.83,4.03,6.94,2.61
233.4,7.64,-0.91,5.21,3.51,8.04,3.58
233.76,5.93,-0.59,5.71,2.57,8.95,5.53
234.12,4.62,-0.33,7.28,2.69,8.71,6.89
234.48,4.08,-0.73,9.03,3.97,7.96,7.09
234.84,3.8,-0.86,9.68,5.11,7.84,6.83
235.2,4.13,0,8.54,5.6,8.15,6.97
235.56,5.62,0.49,6.35,5.86,8.49,7.47
235.92,7.56,-0.63,4.15,6.47,9.06,6.94
236.28,8.88,-2.01,4.23,7.53,7.54,6.62
236.64,9.66,-1.93,4.63,8.25,5.35,6.59
237,10.27,-1.07,5.67,7.7,4.37,5.92
237.36,10.36,-0.86,6.9,6.23,4.76,4.95
237.72,9.58,-2.33,7.34,5.1,5.39,5.33
238.08,8.48,-2.97,6.99,4.99,5.81,7.32
238.44,8.26,-3,6.66,4.89,6.57,8.98
238.8,9.18,-3.08,6.9,3.59,7.79,8.5
239.16,9.55,-4.41,8.12,2.37,8.6,6.73
239.52,7.77,-6.48,9.99,1.84,8.39,5.89
239.88,5.08,-7.37,10.77,2,7.67,6.42
240.24,3.9,-6.54,9.22,2.99,7.21,7.23
240.6,4.13,-5.09,6.73,4.37,7.01,7.73
240.96,4.04,-3.89,5.3,4.51,6.9,7.7
241.32,3.75,-3.42,4.95,2.74,6.84,6.92
241.68,6.84,-3.77,4.97,0.91,6.36,6.39
242.04,7.43,-4.24,5.29,1.24,5.18,7.23
242.4,6.18,-3.88,5.65,3.44,3.83,8.04
242.76,4.93,-3.08,5.49,5.72,3.08,6.93
243.12,5.04,-1.78,5.08,7.42,3.42,4.9
243.48,6.27,-0.92,5.23,8.34,5.19,3.99
243.84,7.22,-1.69,5.85,7.59,5.26,4.42
244.2,6.54,-3.75,6.4,5.52,5.42,4.65
244.56,4.74,-5.14,7.6,3.8,5.87,3.71
244.92,3.87,-4.81,8.58,2.88,6.03,3.24
245.28,4.8,-4.37,7.81,2.14,5.62,3.51
245.64,5.85,-5.17,6.23,1.28,4.73,3.49
246,5,-5.82,5.49,0.45,3.97,3.01
246.36,2.78,-5.21,5.44,0.22,4.61,3.45
246.72,1.15,-4.62,5.63,0.59,6.2,5.05
247.08,0.96,-5.7,6.53,0.65,6.05,6.1
247.44,1.85,-5.77,7.79,1.69,3.44,5.79
247.8,3.25,-5.51,8.32,3.21,1.02,5.19
248.16,4.45,-5.18,8.33,3.47,0.81,5.15
248.52,4.75,-4.88,8.51,3.19,2.55,5.48
248.88,4.35,-4.99,8.4,4.25,5.2,5.73
249.24,4.07,-5.91,7.49,5.94,7.67,5.37
249.6,3.77,-6.99,6.43,6.23,9.05,4.4
249.96,2.96,-6.98,5.92,5.18,9.27,3.76
250.32,2.39,-6.11,5.62,3.84,8.78,3.93
250.68,4.26,-5.47,5.1,2.48,8.03,4.18
251.04,4.91,-5.07,5.19,1.87,6.24,4.07
251.4,4.88,-4.32,6.55,2.91,5.25,4.08
251.76,4.38,-1.21,8,4.58,4.72,4.44
252.12,3.73,0.27,8.13,5.27,4.69,4.96
252.48,3.59,0.18,8.08,5.11,5.16,6.13
252.84,4.23,-1.32,7.9,4.91,6.27,6.38
253.2,5.41,-2.69,7.4,4.65,7.5,6.18
253.56,6.61,-3.21,6.4,4.17,7.72,5.93
253.92,7.02,-3.13,4.59,3.6,6.63,6.24
254.28,6.3,-2.86,2.97,3.29,5.5,6.69
254.64,5,-3.1,3.13,3.55,5.29,6.6
255,3.74,-4.24,4.71,4.36,5.27,6.33
255.36,2.93,-5.41,5.39,4.99,4.91,6.21
255.72,2.57,-5.2,3.83,2.45,4.74,6.1
256.08,2.19,-3.62,1.23,1.39,5.07,6.3
256.44,2.05,-2.39,0.15,2.7,5.4,6.77
256.8,2.97,-2.65,1.39,5.21,5.29,6.96
257.16,4.32,-2.03,3.12,6.82,5.48,6.99
257.52,4.9,-1.12,3.81,6.71,6.9,7.25
257.88,5.01,-1.23,3.93,5.24,8.49,7.34
258.24,5,-2.13,4.14,3.52,7.07,6.59
258.6,4.03,-2.4,4.5,2.75,5.51,5.27
258.96,2.31,-1.9,5.2,2.85,4.49,4.5
259.32,1.56,-1.63,6.08,2.53,4.13,4.97
259.68,1.93,-1.72,6.33,1.4,3.48,6
260.04,1.49,-2.02,5.24,0.75,2.1,6.28
260.4,2,-2.84,5.51,1.7,1.81,5.61
260.76,3.42,-3.64,5.88,3.35,3.59,6.19
261.12,4.57,-0.86,5.59,3.88,5.68,6.98
261.48,5.16,0.5,5.1,3.33,6.45,6.91
261.84,5.66,-0.31,5.4,3.19,5.9,6.45
262.2,5.78,-2.25,6.21,3.68,4.67,5.7
262.56,4.91,-3.48,6.34,4.06,3.54,4.36
262.92,3.81,-3.85,5.68,4,2.99,3.33
263.28,3.6,-4.52,5.23,3.15,2.71,3.98
263.64,3.95,-5.79,5.64,2.14,2.34,6.22
264,4.35,-6.91,6.55,2.39,2.1,8.28
264.36,4.58,-7.38,6.95,4.23,2.23,8.48
264.72,3.84,-7.21,6.74,3.93,2.56,6.86
265.08,2.47,-6.88,6.72,2.99,3.32,5.08
265.44,2.15,-6.69,6.78,1.96,6.18,4.57
265.8,3.27,-4.5,6.1,1.77,6.59,5.03
266.16,4.49,-2.86,4.77,2.5,6.09,5.36
266.52,4.78,-2.09,3.61,3.23,5.11,5.45
266.88,4.25,-2.45,3.41,3.36,4.09,5.71
267.24,3.36,-3.45,4.18,3.06,3.87,6.07
267.6,2.62,-4.17,4.98,2.92,4.79,6.35
267.96,2.81,-3.81,5.1,3.16,5.83,6.7
268.32,4.08,-2.77,5.32,3.27,5.95,7.01
268.68,5.38,-2.76,5.85,2.75,5.78,6.64
269.04,5.86,-4.35,6.13,2.21,6.15,4.59
269.4,6.11,-5.63,5.91,2.38,6.58,5.37
269.76,6.07,-4.86,5.34,2.87,6.51,7.34
270.12,5.66,-3.05,5.12,3.2,6.22,9.03
270.48,5.24,-2.05,5.6,3.59,5.97,9.45
270.84,5.08,-1.88,6.08,3.9,6.09,8.95
271.2,4.87,-1.2,5.9,3.73,6.72,8.57
271.56,4.29,-0.5,5.29,3.6,7.25,8.56
271.92,3.71,-0.26,4.63,4.07,7,8.17
272.28,3.88,-0.62,4.38,4.46,5.89,6.93
272.64,4.82,-0.98,5.11,3.92,2.98,5.34
273,5.63,-0.48,6.52,0.76,2.63,4.29
273.36,5.62,0.46,7.47,-0.38,3.24,3.87
273.72,4.98,0.15,7.35,0.14,3.88,3.34
274.08,4.59,-1.88,6.76,2.29,4.11,2.71
274.44,5.13,-3.87,6.82,4.23,4.14,2.73
274.8,5.91,-4.22,7.57,4.13,3.78,3.59
275.16,5.83,-2.43,7.81,2.29,2.99,4.94
275.52,5.25,-1.69,6.86,0.36,2.44,6.21
275.88,5.01,-1.22,5.46,-0.29,2.49,6.94
276.24,4.67,-1.28,5.27,0.38,2.67,7.32
276.6,3.33,-1.84,5.69,1.48,2.77,7.41
276.96,1.52,-2.51,5.37,2.4,3.08,7.05
277.32,0.77,-3.05,4.58,2.93,3.96,6.13
277.68,1.73,-3.17,4.11,2.9,5.28,5.83
278.04,3.34,-2.61,4.73,2.63,5.91,5.79
278.4,5.05,-1.92,6.18,2.76,4.57,5.58
278.76,5.91,-2.45,6.98,3.19,2.16,4.61
279.12,6.33,-4.65,6.52,3.25,0.89,3.55
279.48,5.64,-6.98,5.75,2.53,1.21,3.54
279.84,4.34,-4.91,5.4,1.39,2.05,4.25
280.2,3.56,-1.68,5.16,0.62,3.04,4.47
280.56,3.82,0.71,4.33,0.59,3.16,4.1
280.92,4.75,1.2,3.19,1,3.49,4.16
281.28,5.67,-0.27,3.2,1.42,3.77,4.83
281.64,6.16,-2.45,5.19,1.1,3.71,5.33
282,6.14,-3.98,8.21,1.08,3.65,5.5
282.36,5.51,-4.31,10.06,2.22,3.88,5.44
282.72,4.29,-3.67,9.1,3.8,4.19,4.88
283.08,3.21,-3.12,6.18,4.58,4.37,4.24
283.44,3.11,-3.43,4.03,4.56,4.35,4.31
283.8,4.02,-3.98,4.2,4.08,4.09,5
284.16,5.14,-3.92,5.62,2.76,3.85,5.47
284.52,5.7,-0.9,6.32,0.99,4.21,5.45
284.88,5.73,1.04,6.28,0.3,4.91,5.88
285.24,5.63,1.46,6.73,1.15,4.95,7.13
285.6,5.36,0.31,7.04,2.27,4.24,6.99
285.96,4.86,-1.38,7.13,2.74,3.73,4.59
286.32,4.65,-2.63,7.28,2.6,3.63,2.45
286.68,5.2,-3.24,7.29,2.05,3.67,2.27
287.04,6.01,-3.67,7.2,1.36,4.09,3.42
287.4,6.29,-3.78,7.41,0.79,6.18,4.41
287.76,4.84,-2.86,7.84,0.4,6.35,5.23
288.12,4.72,-1.33,7.65,0.24,5.68,5.83
288.48,5.85,0,6.26,0.49,4.7,5.45
288.84,6.54,1.28,4.74,1.48,4.15,4.83
289.2,5.58,1.15,4.89,3.27,4.67,5.12
289.56,4.35,-0.62,6.56,4.93,5.78,6.12
289.92,4.23,-1.2,8.06,5.25,6.32,7.31
290.28,4.86,-0.1,8.71,2.39,5.93,8.3
290.64,5.07,1.63,8.58,1,5.26,8.28
291,4.6,2.71,7.34,0.82,5.04,7.25
291.36,4.41,2.23,5.73,1.56,5.23,6.44
291.72,5.1,0.26,5.65,2.26,5.2,6.47
292.08,5.53,-2.11,7.08,2.88,4.84,6.62
292.44,4.4,-3.67,7.62,3.83,5.01,6.31
292.8,2.53,-3.91,6.63,4.82,6.33,5.57
